MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2021-12-31,0.026997840537674955,1.5630451891040715,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.032400000000000005,-0.0078000000000000005,0.0325,0.048799999999999996,0.0429,0.0001,0.026897840537674956
2022-01-31,-0.13135602669578705,1.3577297835173956,5,5,0,0,2020,2021-03-31,gap_top_10pct,-0.061500000000000006,-0.0401,0.1286,0.0077,0.07730000000000001,0.0,-0.13135602669578705
2022-02-28,0.006745427209052357,1.3668882509416747,5,5,0,0,2020,2021-03-31,gap_top_10pct,-0.022799999999999997,0.0286,0.030600000000000002,-0.0203,0.030299999999999997,0.0,0.006745427209052357
2022-03-31,0.0469711134436106,1.4310925140413946,5,5,0,0,2020,2021-03-31,gap_top_10pct,0.0308,-0.021099999999999997,-0.019,-0.015,0.0321,0.0,0.0469711134436106
2021-04-30,0.04168874072844542,1.0416887407284456,11,11,0,0,2020,2021-03-31,gap_top_20pct,0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0,0.04168874072844542
2021-05-31,0.05494726464720867,1.098926687645269,11,11,0,0,2020,2021-03-31,gap_top_20pct,0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0,0.05494726464720867
2021-06-30,0.039511895051506096,1.1423473635968082,11,11,0,0,2020,2021-03-31,gap_top_20pct,0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0,0.039511895051506096
2021-07-31,-0.012749257162743999,1.12778328328913,11,11,0,0,2020,2021-03-31,gap_top_20pct,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,-0.012749257162743999
2021-08-31,0.04695143299788174,1.1807343245506106,11,11,0,0,2020,2021-03-31,gap_top_20pct,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.04695143299788174
2021-09-30,-0.04661688112541307,1.12569217290234,11,11,0,0,2020,2021-03-31,gap_top_20pct,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,-0.04661688112541307
