date,added_ticker,added_security,removed_ticker,removed_security
2017-06-19,ANSS,Ansys,R,Ryder System
2017-06-19,ALGN,Align Technology,TDC,Teradata
2017-06-19,HLT,Hilton,YHOO,Yahoo!
2017-07-07,BKR,Baker Hughes,BHI,Baker Hughes
2017-07-26,DRE,Duke Realty Corp,RIG,Transocean
2017-07-26,AOS,A. O. Smith,BBBY,Bed Bath & Beyond
2017-07-26,RMD,ResMed,MNK,Mallinckrodt
2017-07-26,MGM,MGM Resorts International,RAI,Reynolds American
2017-07-26,PKG,Packaging Corporation of America,MUR,Murphy Oil
2017-08-08,BHF,Brighthouse Financial,AN,AutoNation
2017-08-29,Q,QuintilesIMS,WFM,Whole Foods Market
2017-09-01,SBAC,SBA Communications,DD,DuPont
2017-09-01,DWDP,DuPont,DOW,Dow Chemical Company
2017-09-18,CDNS,Cadence Design Systems,SPLS,Staples
2017-10-13,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications
2018-01-03,HII,Huntington Ingalls Industries,BCR,CR Bard
2018-03-07,IPGP,IPG Photonics,SNI,Scripps Networks Interactive
2018-03-19,SIVB,SVB Financial Group,PDCO,Patterson Companies
2018-03-19,TTWO,Take-Two Interactive,SIG,Signet Jewelers
2018-03-19,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy
2018-04-04,MSCI,MSCI,CSRA,CSRA
2018-05-31,ABMD,Abiomed,WYN,Wyndham Worldwide
2018-06-05,EVRG,Evergy,NAVI,Navient
2018-06-07,TWTR,Twitter,MON,Monsanto
2018-06-18,HFC,HollyFrontier,AYI,Acuity Brands
2018-06-18,BR,Broadridge Financial Solutions,RRC,Range Resources
2018-06-20,FLT,FleetCor Technologies,TWX,Time Warner
2018-07-02,CPRT,Copart,DPS,Dr Pepper Snapple Group
2018-08-28,ANET,Arista Networks,GGP,GGP
2018-09-14,WCG,WellCare,XL,XL Group
2018-10-01,ROL,Rollins,ANDV,Andeavor
2018-10-11,FTNT,Fortinet,EVHC,Envision Healthcare
2018-11-06,KEYS,Keysight,CA,CA Technologies
2018-11-13,JKHY,Jack Henry & Associates,EQT,EQT Corporation
2018-12-03,FANG,Diamondback Energy,SRCL,Stericycle
2018-12-03,MXIM,Maxim Integrated,AET,Aetna
2018-12-03,LW,Lamb Weston,COL,Rockwell Collins
2018-12-24,CE,Celanese,ESRX,Express Scripts
2019-01-02,FRC,First Republic Bank,SCG,SCANA
2019-01-18,TFX,Teleflex,PCG,Pacific Gas & Electric Company
2019-02-15,ATO,Atmos Energy,NFX,Newfield Exploration
2019-02-27,WAB,Wabtec,GT,The Goodyear Tire & Rubber Company
2019-03-19,FOX,Fox Corporation,FOX,21st Century Fox
2019-03-19,FOXA,Fox Corporation,FOXA,21st Century Fox
2019-04-02,DOW,Dow,BHF,Brighthouse Financial
2019-06-03,DD,DuPont,DWDP,DuPont
2019-06-03,CTVA,Corteva,FLR,Fluor Corporation
2019-06-07,BMS,Bemis,MAT,Mattel
2019-06-11,AMCR,Amcor,BMS,Bemis
2019-07-01,MKTX,MarketAxess,LLL,L3 Technologies
2019-07-15,TMUS,T-Mobile US,RHT,Red Hat
2019-08-09,IEX,IDEX Corporation,FL,Foot Locker
2019-08-09,LDOS,Leidos,APC,Anadarko Petroleum
2019-09-23,CDW,CDW Corporation,TSS,TSYS
2019-09-26,NVR,NVR,JEF,Jefferies Financial Group
2019-10-03,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics
2019-11-21,NOW,ServiceNow,CELG,Celgene
2019-12-05,WRB,W. R. Berkley Corporation,VIAB,Viacom
2019-12-09,ODFL,Old Dominion Freight Line,STI,SunTrust Banks
2019-12-23,STE,Steris,MAC,Macerich
2019-12-23,ZBRA,Zebra Technologies,TRIP,TripAdvisor
2019-12-23,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group
2020-01-28,PAYC,Paycom,WCG,WellCare
2020-03-02,IR,Ingersoll Rand,XEC,Cimarex Energy
2020-04-01,HWM,Howmet Aerospace,ARNC,Arconic
2020-04-03,OTIS,Otis Worldwide,,
2020-04-03,CARR,Carrier,,
2020-04-06,,,RTN,Raytheon Company
2020-04-06,,,M,Macy's
2020-05-12,DXCM,Dexcom,AGN,Allergan
2020-05-12,DPZ,Domino's Pizza,CPRI,Capri Holdings
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne
2020-06-22,TYL,Tyler Technologies,JWN,Nordstrom
2020-06-22,TDY,Teledyne,HOG,Harley-Davidson
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems
2020-09-21,CTLT,Catalent,KSS,Kohl's
2020-09-21,TER,Teradyne,COTY,Coty
2020-09-21,ETSY,Etsy,HRB,H&R Block
2020-10-07,POOL,Pool Corporation,ETFC,E-Trade
2020-10-09,VNT,Vontier,,
2020-10-12,,,NBL,Noble Energy
2020-12-21,TSLA,Tesla,AIV,Apartment Investment & Management
2021-01-07,ENPH,Enphase Energy,TIF,Tiffany & Co
2021-01-21,TRMB,Trimble,CXO,Concho Resources
2021-02-12,MPWR,Monolithic Power Systems,FTI,TechnipFMC
2021-03-22,CZR,Caesars Entertainment,VNT,Vontier
2021-03-22,GNRC,Generac Holdings,XRX,Xerox
2021-03-22,PENN,Penn National Gaming,SLG,SL Green Realty
2021-03-22,NXPI,NXP,FLS,Flowserve
2021-04-20,PTC,PTC,VAR,Varian Medical Systems
2021-05-14,CRL,Charles River Laboratories,FLIR,FLIR Systems
2021-06-03,OGN,Organon & Co.,,
2021-06-04,,,HFC,HollyFrontier
2021-07-21,MRNA,Moderna,ALXN,Alexion Pharmaceuticals
2021-08-30,TECH,Bio-Techne,MXIM,Maxim Integrated
2021-09-20,BRO,Brown & Brown,NOV,Nov
2021-09-20,CDAY,Ceridian,UNM,Unum
2021-09-20,MTCH,Match Group,PRGO,Perrigo
2021-12-14,EPAM,EPAM Systems,KSU,Kansas City Southern
2021-12-20,FDS,FactSet,WU,Western Union
2021-12-20,SEDG,SolarEdge,HBI,Hanesbrands
2021-12-20,SBNY,Signature Bank,LEG,Leggett & Platt
2022-02-02,CEG,Constellation Energy,,
2022-02-03,,,GPS,Gap
2022-02-15,NDSN,Nordson Corporation,XLNX,Xilinx
2022-03-02,MOH,Molina Healthcare,INFO,IHS Markit
2022-04-04,CPT,Camden Property Trust,PBCT,People's United Financial
2022-04-11,,,DISCK,"Discovery, Inc."
