year,ticker,cik,sector,industry,name,date_added,is_current_constituent,source,as_of_date,price_ticker,sec_ticker,in_dataset_universe
2019,ALB,0000915913,Materials,Specialty Chemicals,Albemarle Corporation,2016-07-01,True,cached_current,2019-12-31,ALB,ALB,True
2019,ALGN,0001097149,Health Care,Health Care Supplies,Align Technology,2017-06-19,True,cached_current,2019-12-31,ALGN,ALGN,True
2019,ALK,0000766421,Unknown,Unknown,Alaska Air Group,,False,wikipedia_removed,2019-12-31,ALK,ALK,True
2019,ALL,0000899051,Financials,Property & Casualty Insurance,Allstate,1995-07-13,True,cached_current,2019-12-31,ALL,ALL,True
2019,ALLE,0001579241,Industrials,Building Products,Allegion,2013-12-02,True,cached_current,2019-12-31,ALLE,ALLE,True
2019,ALXN,899866,Unknown,Unknown,Alexion Pharmaceuticals,,False,wikipedia_removed,2019-12-31,ALXN,ALXN,True
2019,AMAT,0000006951,Information Technology,Semiconductor Materials & Equipment,Applied Materials,1995-03-16,True,cached_current,2019-12-31,AMAT,AMAT,True
2019,AMCR,0001748790,Materials,Paper & Plastic Packaging Products & Materials,Amcor,2019-06-07,True,cached_current,2019-12-31,AMCR,AMCR,True
2019,AMD,0000002488,Information Technology,Semiconductors,Advanced Micro Devices,2017-03-20,True,cached_current,2019-12-31,AMD,AMD,True
2019,AME,0001037868,Industrials,Electrical Components & Equipment,Ametek,2013-09-23,True,cached_current,2019-12-31,AME,AME,True
2019,AMGN,0000318154,Health Care,Biotechnology,Amgen,1992-01-02,True,cached_current,2019-12-31,AMGN,AMGN,True
2019,AMP,0000820027,Financials,Asset Management & Custody Banks,Ameriprise Financial,2005-10-03,True,cached_current,2019-12-31,AMP,AMP,True
2019,AMT,0001053507,Real Estate,Telecom Tower REITs,American Tower,2007-11-19,True,cached_current,2019-12-31,AMT,AMT,True
2019,AMZN,0001018724,Consumer Discretionary,Broadline Retail,Amazon,2005-11-18,True,cached_current,2019-12-31,AMZN,AMZN,True
2019,ANET,0001596532,Information Technology,Communications Equipment,Arista Networks,2018-08-28,True,cached_current,2019-12-31,ANET,ANET,True
2019,ANSS,1013462,Unknown,Unknown,Ansys,,False,wikipedia_removed,2019-12-31,ANSS,ANSS,True
